epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,297.273,1.50203,2.76528,1.9893,0.00614,1,0.67901,0.42656,0.30254,3.11081,0.44743,0.00036674,0.00036674,0.00036674
2,661.85,1.17655,1.97102,1.77168,0.01007,0.01111,0.00425,0.00085,5.24856,6.26598,5.51009,0.000725395,0.000725395,0.000725395
3,1022.28,1.15021,1.76248,1.71684,0.74146,0.72222,0.75487,0.42288,1.02834,2.52085,1.48975,0.00105875,0.00105875,0.00105875
4,1357.82,1.07318,1.60998,1.68591,0.10851,0.27778,0.05245,0.02288,3.16745,4.2919,2.45769,0.00136679,0.00136679,0.00136679
5,1663.63,1.07744,1.60272,1.67871,0.31527,0.38889,0.24865,0.03513,3.47539,3.21041,2.75627,0.00144696,0.00144696,0.00144696
6,1990.97,1.00033,1.49259,1.62699,0.81791,1,0.9615,0.59881,0.40347,1.95184,0.60069,0.00139195,0.00139195,0.00139195
7,2304.77,0.99853,1.39159,1.58793,0.93992,0.94444,0.96283,0.33745,1.70853,2.35156,1.76696,0.00133693,0.00133693,0.00133693
8,2675.66,0.99429,1.34507,1.59602,0.54734,0.84444,0.75744,0.55078,0.7188,2.07647,0.85248,0.00128192,0.00128192,0.00128192
9,2981.31,0.94614,1.23656,1.54006,0.99914,1,0.995,0.995,0.43208,0.83791,0.66435,0.00122691,0.00122691,0.00122691
10,3300.37,0.95976,1.20256,1.55154,0.68045,0.48889,0.52172,0.07728,2.93631,2.44985,2.19861,0.0011719,0.0011719,0.0011719
11,3589.74,0.88895,1.1275,1.51177,0.32089,0.17778,0.07921,0.02772,3.6717,2.72669,2.68578,0.00111689,0.00111689,0.00111689
